Stockholm,Stockholms laen,975551
Goeteborg,Vaestra Goetalands laen,579281
Uppsala,Uppsala laen,177074
Lund,Skaane laen,91940
Linkoeping,oestergoetlands laen,119325
Umeaa,Vaesterbottens laen,89607
Vaexjoe,Kronobergs laen,94129
Solna,Stockholms laen,82429
Luleaa,Norrbottens laen,49123
Gaevle,Gaevleborgs laen,77586
Malmoe,Skaane laen,344166
Karlstad,Vaermlands laen,65856
Eskilstuna,Soedermanlands laen,69816
Sundsvall,Vaesternorrlands laen,59394
oerebro,oerebro laen,126009
Boraas,Vaestra Goetalands laen,73649
Borlaenge,Dalarnas laen,41955
Joenkoeping,Joenkoepings laen,69091
Kristianstad,Skaane laen,46000
